Text,Link
"US CDA Ambassador met Chairman, ISRO/ Secretary, DOS",https://www.isro.gov.in/US_CDA_Ambassador_met_Chairman_ISRO.html
"ISRO participation at India Pavilion, AeroIndia-2023",https://www.isro.gov.in/ISROIndiaPavilion.html
Commencement of Recovery trials for the Gaganyaan Mission,https://www.isro.gov.in/Recovery_trials_Gaganyaan_Mission.html
Successful test of Throttleable Vikas Engine for 67% Thrust level,https://www.isro.gov.in/Successful_test_Vikas_Engine.html
Second Developmental Flight of SSLV,https://www.isro.gov.in/mission_SSLV_D1_summary_D2.html
"IIA hands over VELC payload
                      to ISRO",https://www.isro.gov.in/IIA_handsover_VELC_payloadto_ISRO.html
"Rozgar Mela:
                      330+ Appointment Orders issued till December 2022",https://www.isro.gov.in/rozgar-mela-appointment-orders-issued-dec-2022.html
"Ambassador of Costa Rica to India met
                      Chairman, ISRO/ Secretary, DOS",https://www.isro.gov.in/Ambassador_of_Costa_Rica.html
"Meeting of Space Agency Chiefs
                      of India and Mexico",https://www.isro.gov.in/Meeting_of_Chiefs_India_Mexico.html
"Successful CE-20 Engine Hot Test with 20t off-nominal & 22.2t vacuum
                      thrust",https://www.isro.gov.in/successful-ce-engine-hot-test.html
"Completion of third batch of UNNATI
                      programme at URSC, ISRO",https://www.isro.gov.in/UNNATIprogramme_at_URSC.html
"First blow down test of Trisonic Wind
                      Tunnel at VSSC",https://www.isro.gov.in/First_Blow_Trisonic.html
"EOS-06 images Cyclone
                      Mandous and detects Algal Bloom",https://www.isro.gov.in/EOS_06_Cyclone_Mandous_Algal_Bloom.html
"Rocket motor Produced by Industry
                      Successfully tested",https://www.isro.gov.in/PS_OM_XL_motor_testing.html
"ISRO and Social Alpha join hands to
                      establish SpaceTech Innovation Platform- SpIN: Focussed on Lab to Market Transition and Venture
                      Development in Space Industry",https://www.isro.gov.in/ISROAndSocialAlpha.html
"Ambassador of Czech Republic to
                      India met Chairman, ISRO/ Secretary, DOS",https://www.isro.gov.in/Ambassador_Czech_Republic.html
"Meeting of Chairman,
                      ISRO/Secretary DOS and Bhutan Minister",https://www.isro.gov.in/visitofBhutanMinistertoSDSC.html
"First private launchpad &
                      mission control center established in ISRO campus at SDSC, SHAR",https://www.isro.gov.in/first_private_launch_mission_control.html
"Honourable former President Shri
                      Ram Nath Kovind witnesses the 200thsuccessive successful launch of RH200 - the
                      workhorse sounding rocket of ISRO",https://www.isro.gov.in/RH200_200th_successive_launch.html
"ISRO Completes Major
                      Development Test of its Gaganyaan Parachute System",https://www.isro.gov.in/Gaganyaan_Parachute_System_Test.html
"VIKRAM-S PRARAMBH Skyroot Mission Launch
                      successfully completed",https://www.isro.gov.in/mission_prarambh.html
"Chairman, ISRO inaugurated the new office of M/s Bellatrix Aerospace",https://www.isro.gov.in/Bellatrix_space_propulsion_lab_monopropellant_thruster.html
"ISRO delivered Flight Termination
                      System (FTS) packages to Agnikul",https://www.isro.gov.in/flight_termination_system.html
"Successful CE20 uprated
                      Engine Hot Test with 21.8 T vacuum thrust",https://www.isro.gov.in/LVM3_CE20_uprated_Engine_Hot_Test.html
"ISRO facilitates the hot testing of an
                      engine developed by an Indian space startup",https://www.isro.gov.in/ISRO_Agnilet_Engine.html
"Atmospheric Re-entry of
                      RISAT-2",https://www.isro.gov.in/Atmospheric_Re_entryRISAT2.html
"CE20 Cryogenic Engine for the next
                      mission of LVM3 tested for acceptance",https://www.isro.gov.in/LVM3CE20cryogenicengine.html
"LVM3 M2 / OneWeb India-1 Mission is
                      completed successfully.",https://www.isro.gov.in/LVM3M2MissionLandingPage.html
"Dr. Sankarasubramanian K.,
                      ISRO, has been designated as the Principal Scientist of the Aditya-L1 mission.",https://www.isro.gov.in/PrincipalScientist_of_theAditya.html
"Two days conference on
                      ""Celebrating Seven Years of AstroSat""",https://www.isro.gov.in/Twodays_conference_on_AstroSat.html
"X-rays from the Moon reveal a new lunar map in
                      sodium",https://www.isro.gov.in/SodiumISRO.html
"Update on the Mars Orbiter Mission
                      (MOM) and the National Meet organised on 27 September,2022",https://www.isro.gov.in/MOM_NationalMeet_2022SEP.html
"ISRO Scientist elected
                      as the Vice President of International Astronautical Federation (IAF)",https://www.isro.gov.in/ISROScientistelectedastheVicePresident.html
"Inauguration of Integrated Cryogenic engine
                      Manufacturing Facility (ICMF)",https://www.isro.gov.in/inaugurationICMF.html
"ISRO develops
                      microprocessor-controlled smart limbs",https://www.isro.gov.in/ISROdevelopsmicroprocessor.html
